in s,C2 in V
-1.181520E-04,1.76883E+01
-1.181512E-04,1.78836E+01
-1.181504E-04,1.82742E+01
-1.181496E-04,1.82742E+01
-1.181488E-04,1.82742E+01
-1.181480E-04,1.82742E+01
-1.181472E-04,1.69070E+01
-1.181464E-04,1.69070E+01
-1.181456E-04,1.65164E+01
-1.181448E-04,1.74930E+01
-1.181440E-04,1.71023E+01
-1.181432E-04,1.71023E+01
-1.181424E-04,1.78836E+01
-1.181416E-04,1.76883E+01
-1.181408E-04,1.80789E+01
-1.181400E-04,1.84695E+01
-1.181392E-04,1.78836E+01
-1.181384E-04,1.78836E+01
-1.181376E-04,1.71023E+01
-1.181368E-04,1.78836E+01
-1.181360E-04,1.67117E+01
-1.181352E-04,1.69070E+01
-1.181344E-04,1.69070E+01
-1.181336E-04,1.74930E+01
-1.181328E-04,1.69070E+01
-1.181320E-04,1.74930E+01
-1.181312E-04,1.72977E+01
-1.181304E-04,1.74930E+01
-1.181296E-04,1.74930E+01
-1.181288E-04,1.80789E+01
-1.181280E-04,1.80789E+01
-1.181272E-04,1.76883E+01
-1.181264E-04,1.65164E+01
-1.181256E-04,1.71023E+01
-1.181248E-04,1.67117E+01
-1.181240E-04,1.72977E+01
-1.181232E-04,1.71023E+01
-1.181224E-04,1.78836E+01
-1.181216E-04,1.69070E+01
-1.181208E-04,1.76883E+01
-1.181200E-04,1.67117E+01
-1.181192E-04,1.71023E+01
-1.181184E-04,1.65164E+01
-1.181176E-04,1.74930E+01
-1.181168E-04,1.65164E+01
-1.181160E-04,1.69070E+01
-1.181152E-04,1.61258E+01
-1.181144E-04,1.69070E+01
-1.181136E-04,1.65164E+01
-1.181128E-04,1.65164E+01
-1.181120E-04,1.69070E+01
-1.181112E-04,1.72977E+01
-1.181104E-04,1.69070E+01
-1.181096E-04,1.71023E+01
-1.181088E-04,1.67117E+01
-1.181080E-04,1.63211E+01
-1.181072E-04,1.55398E+01
-1.181064E-04,1.69070E+01
-1.181056E-04,1.67117E+01
-1.181048E-04,1.67117E+01
-1.181040E-04,1.59305E+01
-1.181032E-04,1.67117E+01
-1.181024E-04,1.65164E+01
-1.181016E-04,1.63211E+01
-1.181008E-04,1.59305E+01
-1.181000E-04,1.63211E+01
-1.180992E-04,1.57352E+01
-1.180984E-04,1.61258E+01
-1.180976E-04,1.57352E+01
-1.180968E-04,1.61258E+01
