in s,C1 in V
-3.0232656E-03,1.37756E+01
-3.0232192E-03,1.18225E+01
-3.0231728E-03,9.62520E+00
-3.0231264E-03,6.98848E+00
-3.0230800E-03,4.40059E+00
-3.0230336E-03,1.22676E+00
-3.0229872E-03,-1.70293E+00
-3.0229408E-03,-4.68145E+00
-3.0228944E-03,-7.36699E+00
-3.0228480E-03,-9.12480E+00
-3.0228016E-03,-1.04920E+01
-3.0227552E-03,-1.10291E+01
-3.0227088E-03,-9.66191E+00
-3.0226624E-03,-7.17168E+00
-3.0226160E-03,-5.36504E+00
-3.0225696E-03,-5.75566E+00
-3.0225232E-03,-7.51348E+00
-3.0224768E-03,-9.02715E+00
-3.0224304E-03,-8.44121E+00
-3.0223840E-03,-7.17168E+00
-3.0223376E-03,-6.43926E+00
-3.0222912E-03,-6.58574E+00
-3.0222448E-03,-6.82988E+00
-3.0221984E-03,-6.87871E+00
-3.0221520E-03,-6.53691E+00
-3.0221056E-03,-6.63457E+00
-3.0220592E-03,-6.97637E+00
-3.0220128E-03,-6.78105E+00
-3.0219664E-03,-6.14629E+00
-3.0219200E-03,-5.80449E+00
-3.0218736E-03,-5.85332E+00
-3.0218272E-03,-6.04863E+00
-3.0217808E-03,-6.14629E+00
-3.0217344E-03,-5.85332E+00
-3.0216880E-03,-5.51152E+00
-3.0216416E-03,-4.63262E+00
-3.0215952E-03,-2.24004E+00
-3.0215488E-03,2.00801E+00
-3.0215024E-03,6.84199E+00
-3.0214560E-03,1.07482E+01
-3.0214096E-03,1.31896E+01
-3.0213632E-03,1.37756E+01
-3.0213168E-03,1.37756E+01
-3.0212704E-03,1.37756E+01
-3.0212240E-03,1.37756E+01
-3.0211776E-03,1.37756E+01
-3.0211312E-03,1.37756E+01
-3.0210848E-03,1.37756E+01
-3.0210384E-03,1.37756E+01
-3.0209920E-03,1.28967E+01
-3.0209456E-03,1.06994E+01
-3.0208992E-03,8.25801E+00
-3.0208528E-03,5.62129E+00
-3.0208064E-03,2.74043E+00
-3.0207600E-03,-1.89258E-01
-3.0207136E-03,-3.21660E+00
-3.0206672E-03,-6.04863E+00
-3.0206208E-03,-8.34355E+00
-3.0205744E-03,-9.90605E+00
-3.0205280E-03,-1.09803E+01
-3.0204816E-03,-1.05408E+01
-3.0204352E-03,-8.63652E+00
-3.0203888E-03,-6.04863E+00
-3.0203424E-03,-5.36504E+00
-3.0202960E-03,-6.68340E+00
-3.0202496E-03,-8.58770E+00
-3.0202032E-03,-8.92949E+00
-3.0201568E-03,-7.90410E+00
-3.0201104E-03,-6.58574E+00
-3.0200640E-03,-6.48809E+00
-3.0200176E-03,-6.87871E+00
-3.0199712E-03,-6.92754E+00
-3.0199248E-03,-6.73223E+00
-3.0198784E-03,-6.34160E+00
-3.0198320E-03,-6.53691E+00
-3.0197856E-03,-7.02520E+00
-3.0197392E-03,-6.63457E+00
-3.0196928E-03,-6.04863E+00
-3.0196464E-03,-5.56035E+00
-3.0196000E-03,-5.99980E+00
-3.0195536E-03,-6.19512E+00
-3.0195072E-03,-5.85332E+00
-3.0194608E-03,-5.60918E+00
-3.0194144E-03,-5.26738E+00
-3.0193680E-03,-3.55840E+00
-3.0193216E-03,-2.38086E-01
-3.0192752E-03,4.49824E+00
-3.0192288E-03,8.89277E+00
-3.0191824E-03,1.25549E+01
-3.0191360E-03,1.37756E+01
-3.0190896E-03,1.37756E+01
-3.0190432E-03,1.37756E+01
-3.0189968E-03,1.37756E+01
-3.0189504E-03,1.37756E+01
-3.0189040E-03,1.37756E+01
-3.0188576E-03,1.37756E+01
-3.0188112E-03,1.37756E+01
-3.0187648E-03,1.37756E+01
